customer_id,name,age,city,income,signup_date,purchases,gender,segment
101,Ana,25.0,Porto Alegre,4200,2024-01-10,3.0,F,Basic
102,Bruno,31.0,Porto Alegre,5100,2024/02/15,5.0,M,Basic
103,Carla,200.0,São Paulo,7900,15-03-2024,7.0,F,Premium
103,Carla,200.0,São Paulo,7900,15-03-2024,7.0,F,Premium
104,Daniel,29.0,Rio de Janeiro,,2024-04-01,2.0,M,Basic
105,Eva,,Rio de Janeiro,6100,2024-13-05,4.0,F,Premium
106,,41.0,Curitiba,5800,,,M,Basic
107,Gustavo,-3.0,Curitiba,4700,2024-06-20,1.0,m,Basic
108,Helena,36.0,,250000,2024-07-01,30.0,Female,Premium
109,Igor,28.0,Porto Alegre,,2024-07-32,2.0,M,Basic
110,Julia,28.0,São Paulo,4300,2024-08-10,3.0,F,Basic
111,Julia,28.0,São Paulo,4300,2024-08-10,3.0,F,Basic
